Data;QN100 (20-25);QN100 MLT;QN70 MLT;QN (2021);QN (2014);Real
19/08/2025;39.9;39.9;39.9;39.9;39.9;39.9
20/08/2025;39.72;39.76;39.71;39.69;39.71;39.6
21/08/2025;39.53;39.63;39.52;39.48;39.52;39.4
22/08/2025;39.35;39.49;39.33;39.26;39.32;39.2
23/08/2025;39.17;39.35;39.14;39.05;39.13;38.9
24/08/2025;38.98;39.22;38.95;38.84;38.94;38.7
25/08/2025;38.8;39.08;38.75;38.62;38.75;38.4
26/08/2025;38.62;38.94;38.56;38.41;38.55;38.2
27/08/2025;38.43;38.81;38.37;38.2;38.36;38
28/08/2025;38.25;38.67;38.18;37.99;38.17;37.8
29/08/2025;38.07;38.53;37.99;37.78;37.98;37.6
30/08/2025;37.88;38.4;37.8;37.56;37.78;37.4
31/08/2025;37.7;38.26;37.61;37.35;37.59;37.2
01/09/2025;37.49;38.15;37.43;37.11;37.42;36.9
02/09/2025;37.29;38.05;37.25;36.87;37.24;36.7
03/09/2025;37.08;37.94;37.07;36.63;37.07;36.5
04/09/2025;36.88;37.84;36.9;36.39;36.89;36.2
05/09/2025;36.67;37.73;36.72;36.15;36.72;
06/09/2025;36.46;37.63;36.54;35.9;36.54;
07/09/2025;36.26;37.52;36.36;35.66;36.37;
08/09/2025;36.05;37.41;36.18;35.42;36.2;
09/09/2025;35.85;37.31;36;35.18;36.02;
10/09/2025;35.64;37.2;35.82;34.94;35.85;
11/09/2025;35.43;37.1;35.64;34.7;35.67;
12/09/2025;35.23;36.99;35.47;34.46;35.5;
13/09/2025;35.02;36.89;35.29;34.22;35.32;
14/09/2025;34.82;36.78;35.11;33.98;35.15;
15/09/2025;34.61;36.67;34.93;33.74;34.98;
16/09/2025;34.4;36.57;34.75;33.49;34.8;
17/09/2025;34.2;36.46;34.57;33.25;34.63;
18/09/2025;33.99;36.36;34.39;33.01;34.45;
19/09/2025;33.79;36.25;34.22;32.77;34.28;
20/09/2025;33.58;36.15;34.04;32.53;34.1;
21/09/2025;33.37;36.04;33.86;32.29;33.93;
22/09/2025;33.17;35.94;33.68;32.05;33.75;
23/09/2025;32.96;35.83;33.5;31.81;33.58;
24/09/2025;32.76;35.72;33.32;31.57;33.41;
25/09/2025;32.55;35.62;33.14;31.33;33.23;
26/09/2025;32.34;35.51;32.96;31.08;33.06;
27/09/2025;32.14;35.41;32.79;30.84;32.88;
28/09/2025;31.93;35.3;32.61;30.6;32.71;
29/09/2025;31.73;35.2;32.43;30.36;32.53;
30/09/2025;31.52;35.09;32.25;30.12;32.36;
